img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
23,"[0.15, -0.3]",,,,,0,20,20,17,,,,,,,lalt,0.8876533000729978,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[-0.15, -0.3]",,,,,0,21,21,27,,,,,,,ralt,1.2521060998551548,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.15, 0.3]",,,,,0,22,22,40,,,,,,,ralt,0.7696469002403319,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
14,"[0.3, 0]",,,,,0,23,23,7,,,,,,,lalt,1.0554626998491585,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
13,"[-0.15, -0.3]",,,,,0,24,24,3,,,,,,,lalt,1.4012795998714864,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.15, -0.3]",,,,,0,25,25,29,,,,,,,ralt,0.8483050996437669,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
24,"[0.15, -0.3]",,,,,0,26,26,23,,,,,,,lalt,1.3682695999741554,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.3, 0]",,,,,0,27,27,37,,,,,,,ralt,0.9592984998598695,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[-0.3, 0]",,,,,0,28,28,42,,,,,,,ralt,1.3086832002736628,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[-0.15, 0.3]",,,,,0,29,29,44,,,,,,,ralt,1.1866794996894896,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
24,"[0.15, 0.3]",,,,,0,30,30,22,,,,,,,lalt,0.8070709998719394,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.3, 0]",,,,,0,31,31,25,,,,,,,ralt,0.8488759999163449,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
23,"[-0.3, 0]",,,,,0,32,32,12,,,,,,,lalt,0.8674944001249969,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
14,"[-0.15, 0.3]",,,,,0,33,33,8,,,,,,,lalt,0.8480464001186192,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[0.15, -0.3]",,,,,0,34,34,47,,,,,,,ralt,1.1181041998788714,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
